N_A,iteration,mean,std,se,n
10,0,0.000963007937562,0.00335125107723,0.000335125107723,100
10,1,3.07314534002,0.704789848522,0.0704789848522,100
10,2,3.28927639648,0.388857714596,0.0388857714596,100
10,3,3.33060640509,0.320382235727,0.0320382235727,100
10,4,3.33847691906,0.319217880099,0.0319217880099,100
10,5,3.33995815523,0.320062946993,0.0320062946993,100
10,6,3.33995815523,0.320062946993,0.0320062946993,100
10,7,3.33995815523,0.320062946993,0.0320062946993,100
10,8,3.33995815523,0.320062946993,0.0320062946993,100
10,9,3.33995815523,0.320062946993,0.0320062946993,100
10,10,3.33995815523,0.320062946993,0.0320062946993,100
8,0,0.000769136058293,0.00267757550195,0.000267757550195,100
8,1,2.99211236592,0.623054131697,0.0623054131697,100
8,2,3.18204763039,0.328533704626,0.0328533704626,100
8,3,3.20522344423,0.318283360976,0.0318283360976,100
8,4,3.20825947156,0.316476539852,0.0316476539852,100
8,5,3.20856045116,0.316474322017,0.0316474322017,100
8,6,3.20856045116,0.316474322017,0.0316474322017,100
8,7,3.20856045116,0.316474322017,0.0316474322017,100
8,8,3.20856045116,0.316474322017,0.0316474322017,100
8,9,3.20856045116,0.316474322017,0.0316474322017,100
8,10,3.20856045116,0.316474322017,0.0316474322017,100
6,0,0.000576663288916,0.00200908400869,0.000200908400869,100
6,1,2.81822541822,0.639137299861,0.0639137299861,100
6,2,3.01687321247,0.330739985964,0.0330739985964,100
6,3,3.03720848545,0.322112231726,0.0322112231726,100
6,4,3.04012263191,0.320246334221,0.0320246334221,100
6,5,3.04052939152,0.319964770708,0.0319964770708,100
6,6,3.04052939152,0.319964770708,0.0319964770708,100
6,7,3.04052939152,0.319964770708,0.0319964770708,100
6,8,3.04052939152,0.319964770708,0.0319964770708,100
6,9,3.04052939152,0.319964770708,0.0319964770708,100
6,10,3.04052939152,0.319964770708,0.0319964770708,100
