K,proposed,et,fhap,random_bf,shared_fe_fi
2,6.51140154317,4.37264215472,2.03739338827,6.00646932308,5.95732185467
4,3.20856025622,2.3336622364,0.966482074909,2.97846280019,2.76432977808
6,2.16093139271,1.57699537775,0.665631960073,2.01630149089,1.82274646143
8,1.64168302863,1.18190819485,0.514163500078,1.53495972553,1.37558828107
10,1.32308377744,0.934297756313,0.415638657809,1.23736285528,1.10355447739
