N_A,proposed,et,fhap,random_bf,shared_fe_fi
4,2.77759334878,1.91654309575,0.621637328673,2.70308194405,2.30064644432
6,3.04052936061,2.18011663431,0.818421910513,2.88370344494,2.60066160286
8,3.20856025622,2.3336622364,0.966482074909,2.97846280019,2.76432977808
10,3.33995792957,2.44676788207,1.08659380576,3.05231684047,2.9005024153
12,3.45774177544,2.55629424643,1.18603750155,3.12316764509,3.04479693667
