power_dbm,proposed,et,fhap,random_bf,shared_fe_fi
10,2.45192020044,1.66714723188,0.404357955271,2.22405305633,2.01388419691
15,2.82718001093,1.99829452078,0.65571919184,2.59661781235,2.37159175114
20,3.20856025622,2.3336622364,0.966482074909,2.97846280019,2.76432977808
25,3.59083745329,2.64847040209,1.31670835797,3.35366256364,3.14752785667
30,3.87531021401,2.90847931228,1.68890772228,3.63284799393,3.32990470103
